"Nom";"Reference_SKU";"Prix_TTC";"Devise";"Disponibilite";"Categorie_Niveau1";"Categorie_Niveau2";"Categorie_Niveau3";"Categorie_Niveau4";"Categorie";"URL_Produit";"URL_Image";"Description_Courte";"Description_Longue"
"Coque renforcée Compatible MagSafe iPhone 15 Pro Max FORCE CASE Air Frost Garantie à Vie";"20573";"6";"EUR";"En stock";"Accessoires";"Protection";"Coques";"";"Accessoires > Protection > Coques";"https://www.pieces2mobile.com/coque-renforcee-compatible-magsafe-iphone-15-pro-max-force-case-air-frost-garantie-a-vie.html";"https://www.pieces2mobile.com/media/catalog/product/cache/08ce6ea9b7ea9e423fa7c2e2ae0fab3c/c/o/coque-renforc_e-transparente-compatible-magsafe-iphone-15-pro-max-force-case-air-frost-garantie-a-vie.jpg";"Coque renforcée Compatible MagSafe iPhone 15 Pro Max FORCE CASE Air Frost Garantie à Vie. ReparMonPhone, principal grossiste en pièces détachées pour mobiles en Europe. Envois gratuits dès 35 euros. Comptes professionnels.";"

  Coque Force Case AIR FROST iPhone 15 Pro Max Compatible MagSafe — Frost Noire — Garantie à Vie

  La coque Force Case AIR FROST pour iPhone 15 Pro Max est une protection haute résistance française, alliant robustesse certifiée, compatibilité MagSafe renforcée et finition mate Frost Noire élégante. Fabriquée avec 50% de verre recyclé certifié GRS, elle incarne une approche premium et responsable de la protection smartphone. Disponible chez ReparMonPhone — référence FCAIRFRMAGIP15PMB.

  5 technologies de protection pour résister aux chutes jusqu'à 3 mètres

  La Force Case AIR FROST combine cinq systèmes de protection complémentaires, tous certifiés par des tests en laboratoires indépendants :

  
    Air Cushion — des cavités d'air aux quatre coins de la coque absorbent l'énergie des impacts sans endommager le smartphone
    Tryax Inserts 3D — un système breveté sur le contour de la coque disperse l'énergie du choc selon trois axes simultanément pour une protection périmétrique complète
    Contours surélevés en silicone liquide — les bords de l'écran et le contour de la triple caméra sont protégés, permettant de poser l'iPhone face avant ou face arrière sans contact direct
    Structure renforcée double matière — la combinaison de deux technologies exclusives confère à la coque une résistance aux chutes certifiée à 3 mètres
    Finition Frost mate antidérapante — le revêtement mat assure une prise en main sécurisée et résiste aux traces de doigts au quotidien
  

  Compatibilité MagSafe renforcée : charge et accessoires magnétiques optimisés

  La Force Case AIR FROST intègre un système aimanté renforcé pleinement compatible avec l'écosystème MagSafe d'Apple. Concrètement, cela apporte deux bénéfices directs :

  
    Fixation magnétique puissante sur tous les accessoires MagSafe : chargeur sans fil MagSafe, support voiture magnétique, stand vidéo, portefeuille MagSafe, etc.
    Charge sans fil plus rapide et plus efficace — l'alignement magnétique optimal des aimants renforcés améliore le contact entre le chargeur et l'iPhone pour une charge inductive plus performante
  

  La coque ne nécessite aucun retrait pour utiliser les accessoires MagSafe — elle est conçue pour être utilisée en permanence.

  Finition Frost Noire : mat, élégant, anti-traces

  Le revêtement Frost Noir mat est l'une des signatures visuelles de cette coque :

  
    Finition mate qui évite les reflets et les traces de doigts — la coque reste propre et nette même après une journée d'utilisation intensive
    Texture antidérapante qui garantit une prise en main ferme et sécurisée, même les mains mouillées
    Design sobre et premium qui s'accorde avec le titane naturel de l'iPhone 15 Pro Max sans alourdir visuellement l'appareil
    Épaisseur maîtrisée pour conserver le format fin de l'iPhone 15 Pro Max tout en assurant une protection maximale
  

  Éco-conçue avec 50% de verre recyclé — Certifiée GRS

  La Force Case AIR FROST est l'une des rares coques du marché à intégrer une démarche environnementale réelle et certifiée :

  
    50% de verre recyclé dans la composition des matériaux de la coque
    Certification GRS (Global Recycled Standard) — garantit le contenu recyclé, le respect de critères environnementaux et sociaux tout au long de la chaîne de production
    Packaging 100% recyclable : carton certifié issu de forêts gérées durablement, colle végétale, encre de soja
    Service Recyclerie Force Case — retour prépayé de l'ancienne coque pour recyclage via le partenaire Véolia, dans une logique d'économie circulaire
    Note Green Act — chaque produit Force Case est évalué sur plus de 70 critères environnementaux, sociaux et éthiques
  

  Accroche bandoulière universelle incluse

  La coque est livrée avec une accroche universelle pour bandoulière. Ce système de fixation se glisse simplement entre la coque et l'iPhone, sans modification ni perçage. Il permet d'accrocher une bandoulière (vendue séparément) pour transporter l'iPhone en toute sécurité — pratique pour les déplacements, les concerts, le sport ou les professionnels en mobilité.

  Garantie à vie Force Case : une protection sans limite dans le temps

  La Force Case AIR FROST est couverte par la garantie à vie Force Case, un engagement unique sur le marché des coques smartphone :

  
    En cas de dommage ou de casse de la coque, Force Case envoie un produit neuf en échange
    Le remplacement est possible une fois par an, sans limite de durée
    Pour en bénéficier : créer un compte sur force-mobility.fr et enregistrer le produit dans les 30 jours suivant l'achat
    S'applique en complément de la garantie légale de conformité de 2 ans
  

  Force Case : marque française, certification Origine France Garantie

  Force Case est une marque française fondée il y a plus de 25 ans, dont les produits sont imaginés et développés à Paris. Elle est la première marque à intégrer 5 systèmes de résistance aux chocs certifiés par des laboratoires indépendants. Ses produits portent le label Origine France Garantie — transformation et conditionnement entièrement réalisés en France. Tous les produits sont testés et certifiés selon les normes et directives CE en vigueur.

  Fiche technique — Force Case AIR FROST iPhone 15 Pro Max

  
    
      
        Paramètre
        Valeur
      
    
    
      
        Référence
        FCAIRFRMAGIP15PMB
      
      
        Marque
        Force Case — Origine France Garantie
      
      
        Modèle
        AIR FROST
      
      
        Compatibilité
        iPhone 15 Pro Max
      
      
        Couleur
        Frost Noire
      
      
        Finition
        Mat anti-traces antidérapant
      
      
        Compatible MagSafe
        Oui — aimants renforcés
      
      
        Résistance chutes
        3 mètres — certifiée laboratoire indépendant
      
      
        Technologies
        Air Cushion + Tryax Inserts 3D + silicone liquide
      
      
        Matériaux
        50% verre recyclé — Certifié GRS
      
      
        Accroche bandoulière
        Incluse
      
      
        Compatible Force Glass
        Oui
      
      
        Packaging
        100% recyclable — carton FSC, colle végétale, encre soja
      
      
        Garantie
        Garantie à vie Force Case (1 remplacement/an) + garantie légale 2 ans
      
      
        Certification
        CE — Origine France Garantie — GRS
      
    
  

  
    ReparMonPhone distribue les coques Force Case pour les revendeurs, ateliers de réparation et professionnels. Disponible en compte professionnel avec tarifs adaptés aux commandes en volume. Contactez notre équipe pour toute demande de devis ou de stock sur les références Force Case.
  

"
"coque protection Google Pixel 8 noir Origine";"20590";"8.4";"EUR";"En stock";"Accessoires";"Protection";"Coques";"";"Accessoires > Protection > Coques";"https://www.pieces2mobile.com/coque-protection-google-pixel-8-noir-origine.html";"https://www.pieces2mobile.com/media/catalog/product/cache/08ce6ea9b7ea9e423fa7c2e2ae0fab3c/p/i/pixel_8_origine.jpg";"coque protection Google Pixel 8 noir Origine. ReparMonPhone, principal grossiste en pièces détachées pour mobiles en Europe. Envois gratuits dès 35 euros. Comptes professionnels.";"CARACTÉRISTIQUESCompatible : Google Google Pixel 8Inclus : La coque de protectionAvec : Marque : /Modèle : Google Pixel 8 OrigineCouleur externe : Couleur interne : NoirTexture : LisseMatière : Silicone semi-rigideType : avec boîte"
"Câble Silicone Jack / Jack  YP10 2 AUX USAMS Or (1 m)";"9976";"2.4";"EUR";"En stock";"Accessoires";"USAMS";"Chargeurs et Câbles";"";"Accessoires > USAMS > Chargeurs et Câbles";"https://www.pieces2mobile.com/cable-silicone-jack-jack-yp10-2-aux-usams-blanc-1-m.html";"https://www.pieces2mobile.com/media/catalog/product/cache/08ce6ea9b7ea9e423fa7c2e2ae0fab3c/u/s/usams_yp-01_3_.jpg";"Câble Silicone Jack / Jack  YP10 2 AUX USAMS Or (1 m). ReparMonPhone, principal grossiste en pièces détachées pour mobiles en Europe. Envois gratuits dès 35 euros. Comptes professionnels.";"Câble Jack 3,5 mm vers Jack 3,5 mm pour lecteur MP3, tablette, téléphones mobiles , PC   Connectez votre lecteur MP3, tablette, téléphones mobiles , PC   doté d’un connecteur Jack 3,5 mm grâce au câble USAMS à n’importe lequel de vos appareils équipés d’un port Jack 3,5 mm. D’une longueur de 1m, le câble Jack 3,5 mm/Jack 3,5 mm Or fait partie des accessoires indispensables qui doivent accompagner partout votre lecteur MP3, tablette, téléphones mobiles , PC   en toute occasion. Le câble USAMS  offre une compatibilité optimale avec les appareils lecteur MP3, tablette, téléphones mobiles , PC   pour tous les usages susmentionnés."
"Verre Trempé (Lot x25) iPhone XR / iPhone 11";"4175";"24";"EUR";"En stock";"Accessoires";"Protection Écran";"Verre Trempé";"";"Accessoires > Protection Écran > Verre Trempé";"https://www.pieces2mobile.com/verre-trempe-lot-x10-iphone-xr-iphone-11.html";"https://www.pieces2mobile.com/media/catalog/product/cache/08ce6ea9b7ea9e423fa7c2e2ae0fab3c/v/e/verre_tremp_lot_x25.jpg";"Verre Trempé (Lot x25) iPhone XR / iPhone 11. ReparMonPhone, principal grossiste en pièces détachées pour mobiles en Europe. Envois gratuits dès 35 euros. Comptes professionnels.";"La photo est non contractuelle, la forme peut changer en fonction du modèle de smartphone (emplacement caméra, etc...), seule l'apparence demeure.CARACTÉRISTIQUESCompatible : Apple iPhone XR / iPhone 11Inclus : Le verre trempé de protectionAvec : Technologie 2.5D (Polissage des angles et côtés du verre)Intégrale : NonConfidentiel : NonCouleur : TransparentÉpaisseur : 0.3 mm"
"Adaptateur Type C / Prise Jack Huawei CM20";"3788";"6";"EUR";"Rupture / sur commande";"Accessoires";"Autres";"Adaptateurs";"";"Accessoires > Autres > Adaptateurs";"https://www.pieces2mobile.com/adaptateur-type-c-prise-jack-huawei.html";"https://www.pieces2mobile.com/media/catalog/product/cache/08ce6ea9b7ea9e423fa7c2e2ae0fab3c/h/u/huawei--adaptateur-type-c-jack.jpg";"Adaptateur Type C / Prise Jack Huawei CM20. ReparMonPhone, principal grossiste en pièces de rechange pour mobiles en Europe. Envois gratuits dès 35 euros. Comptes professionnels.";"Transforme le port USB-C de votre appareil Huawei en port jack 3.5mm pour que vous puissiez utiliser vos casques et écouteurs filaires en prise Jack. 
Cette adaptateur type C vers Jack et compatible uniquement avec les appareils de la marque Huawei"
"Lampe de stérilisation Ultraviolet portable USAMS US-ZB134";"3656";"6";"EUR";"En stock";"Accessoires";"USAMS";"Autres";"";"Accessoires > USAMS > Autres";"https://www.pieces2mobile.com/lampe-de-sterilisation-ultraviolet-portable-usams-us-zb134.html";"https://www.pieces2mobile.com/media/catalog/product/cache/08ce6ea9b7ea9e423fa7c2e2ae0fab3c/l/a/lampe_de_st_rilisation_ultraviolet_portable_usams_us-zb134_6_.jpg";"Lampe de stérilisation Ultraviolet portable USAMS US-ZB134. ReparMonPhone, principal grossiste en pièces détachées pour mobiles en Europe. Envois gratuits dès 35 euros. Comptes professionnels.";"Une solution de désinfection nomade et performante
L'hygiène de nos outils technologiques est devenue une priorité absolue. Chez ReparMonPhone, expert en pièces détachées et composants de haute technicité, nous sélectionnons des produits innovants pour préserver l'intégrité de vos appareils. La lampe de stérilisation ultraviolet portable Usams US-ZB134 a été conçue pour éliminer efficacement les micro-organismes sur toutes les surfaces, vous garantissant un environnement sain en un clin d'œil.

Technologie UV-C au service de vos appareils nomades
Ce dispositif portatif utilise le rayonnement ultraviolet de type C pour détruire les structures moléculaires des germes et des bactéries. Son format compact et maniable vous permet de purifier instantanément l'écran de votre smartphone, le clavier de votre ordinateur MacBook ou vos accessoires de protection. C'est l'accessoire smartphone idéal pour les professionnels en déplacement et les particuliers soucieux de la propreté de leurs équipements.

Avantages majeurs et caractéristiques techniques

    Format de poche ultra-portatif : se glisse facilement dans un sac ou une sacoche d'ordinateur pour un usage nomade.
    Action rapide et ciblée : désinfection efficace en quelques secondes d'exposition seulement.
    Batterie intégrée durable : utilisation sans fil facilitée pour traiter toutes les surfaces planes ou incurvées.
    Conception sécurisée : un système pensé pour concentrer le rayonnement uniquement sur la zone à traiter.


La garantie d'un service premium avec ReparMonPhone
Faire le choix de ReparMonPhone, c'est opter pour la fiabilité d'un spécialiste reconnu. Nous testons rigoureusement chaque référence pour veiller à sa parfaite conformité technique. Pour vous assurer une sérénité totale, cette lampe de stérilisation portable s'accompagne d'une Garantie 12 mois. Profitez de notre expertise sectorielle et d'une livraison rapide pour équiper votre quotidien avec des outils professionnels performants."
"Présentoir avec 30 Câbles USB - pour iPhone Usams US-SJ311 U26 Noir";"14900";"63";"EUR";"Rupture / sur commande";"Accessoires";"USAMS";"Chargeurs et Câbles";"";"Accessoires > USAMS > Chargeurs et Câbles";"https://www.pieces2mobile.com/presentoir-avec-30-cables-usb-lightning-1m-usams-sj311-noir.html";"https://www.pieces2mobile.com/media/catalog/product/cache/08ce6ea9b7ea9e423fa7c2e2ae0fab3c/c/a/cable-de-charge-de-data-1m-usams-sj311.jpg";"Présentoir avec 30 Câbles USB - pour iPhone Usams US-SJ311 U26 Noir. ReparMonPhone, principal grossiste en pièces détachées pour mobiles en Europe. Envois gratuits dès 35 euros. Comptes professionnels.";"Présentoir avec 30 Câbles USB - Lightning (pour iPhone 5 à iPhone 14) Usams US-SJ311 U26 Noir
Le Présentoir avec 30 Câbles USB - Lightning de Usams est conçu pour les professionnels de la réparation et de la vente d'accessoires pour iPhone. Ces câbles sont compatibles avec les modèles iPhone allant du 5 jusqu'au 14, offrant ainsi une solution idéale pour les utilisateurs de produits Apple. Grâce à leur design robuste et leur couleur noire élégante, ils apportent à la fois une grande fiabilité et un style moderne à votre magasin ou point de vente.

Charge Rapide et Performante
Le câble Lightning Usams (SJ311) assure une charge rapide avec un courant de 3A, garantissant ainsi une recharge rapide et efficace des appareils Apple. En plus de la charge, il permet également un transfert de données stable et fluide, ce qui en fait un produit polyvalent et indispensable pour vos clients.

Durabilité et Conception Résistante
Ces câbles sont conçus pour résister à l'usure quotidienne grâce à leur gaine en nylon tressé haute densité, garantissant une grande résistance aux dommages mécaniques et aux torsions. Le boîtier en alliage d'aluminium offre une protection supplémentaire contre les déconnexions et les fissures aux points de connexion, augmentant ainsi la durabilité du câble et prolongeant sa durée de vie.

Design Élégant et Fonctionnel
Avec sa longueur de 1 mètre, ce câble offre une flexibilité d'utilisation dans diverses situations tout en évitant les enchevêtrements. De plus, son indicateur lumineux doux permet de localiser facilement le câble dans des conditions de faible éclairage, améliorant ainsi l'expérience utilisateur. Son design noir élégant est parfait pour les environnements professionnels ou personnels, alliant style et fonctionnalité.

Caractéristiques Techniques

    Modèle : US-SJ311 U26
    Type de port : Lightning pour iPhone
    Longueur du câble : 1.0 mètre
    Couleur : Noir
    Courant nominal : Jusqu'à 3A
    Compatibilité : iPhone 5 à iPhone 14


Ce Présentoir avec 30 Câbles USB - Lightning est idéal pour les professionnels souhaitant offrir à leurs clients des accessoires de haute qualité, fiables et performants pour leurs appareils Apple. Ce produit allie durabilité, performance et design moderne, tout en maximisant l'attractivité de votre point de vente."
"Support vélo en silicone Usams (ZJ053) Noir";"14905";"7.2";"EUR";"En stock";"Accessoires";"Autres";"Auto, Moto et Vélo";"";"Accessoires > Autres > Auto, Moto et Vélo";"https://www.pieces2mobile.com/support-velo-en-silicone-usams-zj053-noir.html";"https://www.pieces2mobile.com/media/catalog/product/cache/08ce6ea9b7ea9e423fa7c2e2ae0fab3c/s/u/support-velo-en-silicone-usams-_zi053_-noir-_3_.jpg";"Support vélo en silicone Usams (ZJ053) Noir. ReparMonPhone, principal grossiste en pièces détachées pour mobiles en Europe. Envois gratuits dès 35 euros. Comptes professionnels.";""
"Coque PROTECT iPhone 15 Magnétique Compatible avec MagSafe Noir";"16917";"6";"EUR";"En stock";"Accessoires";"Protection";"Coques";"";"Accessoires > Protection > Coques";"https://www.pieces2mobile.com/coque-protect-iphone-15-magnetique-compatible-avec-magsafe-noir.html";"https://www.pieces2mobile.com/media/catalog/product/cache/08ce6ea9b7ea9e423fa7c2e2ae0fab3c/c/o/coque-de-protection-avec-charge-sans-fil-iphone-15-noir-1.jpg";"Coque PROTECT iPhone 15 Magnétique Compatible avec MagSafe Noir. ReparMonPhone, principal grossiste en pièces détachées pour mobiles en Europe. Envois gratuits dès 35 euros. Comptes professionnels.";"CARACTÉRISTIQUESCompatible :  iPhone 15 Inclus : La coque de protectionAvec : Angle renforcéMarque : Modèle : iPhone 15 Couleur externe : NoirCouleur interne : NoirTexture : Lisse (Avec renforts)Matière : Silicone semi-rigideType : Livré sans emballage."
"Chargeur allume-cigare Oppo USB Type A/C 80W Supervooc CCB7JACH Noir Origine";"17978";"36";"EUR";"En stock";"Accessoires";"Autonomie";"Chargeurs";"";"Accessoires > Autonomie > Chargeurs";"https://www.pieces2mobile.com/chargeur-allume-cigare-oppo-usb-type-a-c-80w-supervooc-ccb7jach-noir-origine.html";"https://www.pieces2mobile.com/media/catalog/product/cache/08ce6ea9b7ea9e423fa7c2e2ae0fab3c/c/h/chargeur-allume-cigare-oppo-usb-type-ac-80w-supervooc-ccb7jach-noir-origine_1.jpg";"Chargeur allume-cigare Oppo USB Type A/C 80W Supervooc CCB7JACH Noir Origine. ReparMonPhone, principal grossiste en pièces de rechange pour mobiles en Europe. Envois gratuits dès 35 euros. Comptes professionnels.";"Chargeur Allume-Cigare Oppo USB Type A/C 80W Supervooc CCB7JACH Noir Origine
Découvrez le summum de la technologie de charge avec le chargeur allume-cigare Oppo SUPERVOOC 80W, modèle CCB7JACH. Conçu pour fournir une charge ultra rapide dans votre véhicule, ce chargeur combine efficacité et style, avec un design sophistiqué et une finition de haute qualité en noir.

Charge Ultra Rapide avec Technologie SUPERVOOC
La technologie SUPERVOOC permet au chargeur allume-cigare Oppo de charger vos appareils à des vitesses exceptionnelles. Avec une puissance maximale de 80W, il est idéal pour charger rapidement des smartphones compatibles, tablettes, et autres appareils USB-C et USB-A tout en conduisant.

Polyvalence et Puissance
Le chargeur est équipé de deux ports : un USB-C et un USB-A, offrant une flexibilité totale pour la charge de multiples appareils simultanément. Le port USB-C peut délivrer jusqu'à 30W, parfait pour les appareils compatibles PD (Power Delivery), tandis que le port USB-A peut fournir jusqu'à 80W, assurant une charge rapide pour les appareils nécessitant plus de puissance.

Design Élégant et Construction Durable
Ce chargeur se distingue non seulement par sa performance, mais aussi par son design élégant et sa construction robuste. Sa couleur noire et sa finition supérieure s'harmonisent parfaitement avec l'intérieur de n'importe quel véhicule, ajoutant une touche de classe à votre tableau de bord.

Caractéristiques Techniques

    Modèle: CCB7JACH
    Couleur: Noir
    Entrée: 12-24V-BA
    Sortie USB-C: Jusqu'à 30W avec divers profils de tension pour une charge adaptative
    Sortie USB-A: Jusqu'à 80W pour une charge rapide des appareils plus gourmands en énergie
    Sortie combinée USB-C + USB-A: Jusqu'à 63W pour une charge simultanée


Ce chargeur allume-cigare est une solution idéale pour les conducteurs qui nécessitent une recharge rapide et fiable de plusieurs appareils pendant leurs déplacements. Sa technologie avancée et son design fonctionnel en font un accessoire essentiel pour tout utilisateur de technologie moderne."
"Mini Chargeur Rapide PD USB-C (30W) séries X-ron Usams US-CC186 Noir";"16699";"8.84";"EUR";"En stock";"Accessoires";"USAMS";"Chargeurs et Câbles";"";"Accessoires > USAMS > Chargeurs et Câbles";"https://www.pieces2mobile.com/chargeur-rapide-pd-usb-c-30w-series-x-ron-usams-us-cc186-noir.html";"https://www.pieces2mobile.com/media/catalog/product/cache/08ce6ea9b7ea9e423fa7c2e2ae0fab3c/c/h/chargeur-rapide-pd-usb-c-30w-series-x-ron-usams-us-cc186-noir-1.jpg";"Mini Chargeur Rapide PD USB-C (30W) séries X-ron Usams US-CC186 Noir. ReparMonPhone, principal grossiste en pièces de rechange pour mobiles en Europe. Envois gratuits dès 35 euros. Comptes professionnels.";"Chargeur Rapide PD30W (UE) - Série X-ron par USAMS

    Le chargeur PD30W de la Série X-ron d'USAMS est une solution exceptionnelle pour les professionnels de la réparation de smartphones. Grâce à sa taille mini, sa charge rapide et sa compatibilité étendue, ce chargeur offre des performances exceptionnelles, répondant ainsi aux exigences des utilisateurs les plus exigeants.

    Caractéristiques Principales :

    
        Taille Mini : Super mini chargeur rapide de 30W, facile à transporter.
        Charge Rapide : Protocole de charge rapide PD30W pour Apple, charge flash.
        Compatibilité Étendue : Puissance élevée de 30W (max), compatible avec divers protocoles de charge rapide, adapté aux ordinateurs portables, téléphones, tablettes, écouteurs, montres et petits appareils.
        Mini et Portable : Moitié de la taille d'un chargeur ordinaire de 30W, pratique et efficace, n'occupe pas l'espace de la prise lors de l'utilisation de plusieurs prises.
        Protection Multi-niveau : 8 protections intégrées pour une sécurité accrue : surtension, surintensité, surpuissance, court-circuit, surchauffe, protection contre la foudre, anti-interférences et retardateur de flamme.
        Charge Sûre et Rapide : Puce intelligente intégrée qui ajuste automatiquement le courant requis pour une charge rapide et sécurisée.
        Charge en Cascade : Passe automatiquement en mode de charge en cascade pour maintenir la batterie lorsqu'elle est pleinement chargée.
    

    Performances de Charge :

    Le chargeur PD30W offre des performances exceptionnelles :
    
    
        PD30W : Charge 100% du MacBook Pro 13 pouces en environ 2,5 heures.
        PD30W : Charge 50% de l'iPad Pro 11 pouces en environ 2,4 heures.
        PD20W : Charge 50% de l'iPhone 8-14 en environ 30 minutes.
    

    Note : Un câble de charge PD haute puissance est nécessaire pour atteindre les performances mentionnées ci-dessus.

    Design Élégant :

    
        Panels de Haute Qualité : Processus d'électroplacage exquis pour une apparence élégante, une sensation agréable et une résistance à la corrosion.
        Plusieurs Couleurs au Choix : Disponible en noir ou en blanc.
    

    Informations Produit :

    
        Modèle : US-CC186
        Marque : USAMS
        Nom : Chargeur Rapide PD30W (UE) - Série X-ron
        Matériau : PC
        Couleur : Noir
        Taille : 31x33x36mm (sans la prise, longueur de la prise 37mm)
        Entrée : 100-240V~50/60Hz 1A Max
        Poids : Environ 47g
        Sortie : 5V-3A 9V-3A 12V-2.5A 15V-2A 20V-1.5A (30W Max)
        Compatibilité : Pour les appareils numériques sublies.
    

    Optez pour le Chargeur Rapide PD30W de la Série X-ron d'USAMS pour offrir à vos clients une solution de charge rapide, fiable et sécurisée. Disponible en plusieurs couleurs attrayantes, il répondra aux besoins de tous les utilisateurs de smartphones."
"Verre trempé intégral Samsung S23 Ultra Heybingo Antistatique Super Edge HD compatible Lecteur d'Empreintes";"17396";"12";"EUR";"En stock";"Accessoires";"Protection Écran";"Verre Trempé";"";"Accessoires > Protection Écran > Verre Trempé";"https://www.pieces2mobile.com/verre-trempe-integral-samsung-s23-ultra-heybingo-antistatique-super-edge-hd-compatible-lecteur-d-empreintes.html";"https://www.pieces2mobile.com/media/catalog/product/cache/08ce6ea9b7ea9e423fa7c2e2ae0fab3c/v/e/verre-trempe-integral-samsung-s24-ultra-s928b-heybingo-super-edge-hd-2_2_11_10.jpg";"Verre trempé intégral Samsung S23 Ultra Heybingo Antistatique Super Edge HD compatible Lecteur d'Empreintes. ReparMonPhone, principal grossiste en pièces détachées pour mobiles en Europe. Envois gratuits dès 35 euros. Comptes professionnels.";"


    Verre trempé intégral Samsung Galaxy S23 Ultra HEYBINGO Super Edge HD


    Offrez à votre Samsung Galaxy S23 Ultra une protection optimale avec le verre trempé intégral HEYBINGO Super Edge HD. Ce verre trempé de haute qualité, fabriqué en verre Asahi japonais, assure une transparence exceptionnelle et une résistance accrue aux chocs et aux rayures. Avec son design incurvé 2.5D, il s’adapte parfaitement à l’écran de votre appareil, pour une protection complète.



    Conception Anti-Explosion et Anti-Rayures


    Le verre trempé HEYBINGO Super Edge HD est conçu pour protéger votre Samsung Galaxy S23 Ultra des impacts les plus violents grâce à sa technologie anti-explosion. Il résiste efficacement aux rayures et à l'abrasion, garantissant ainsi une durabilité exceptionnelle et une apparence comme neuve, même après des mois d’utilisation.



    Protection Anti-Trace et Anti-Huile


    Doté d'un revêtement anti-empreintes digitales et anti-huile, ce verre trempé garde l’écran de votre Samsung Galaxy S23 Ultra propre en toutes circonstances. Fini les traces de doigts gênantes et les taches grasses, votre écran reste impeccable et facile à nettoyer.



    Design Élégant et Intégration Parfaite


    Grâce à son design 2.5D, le verre trempé HEYBINGO s’intègre parfaitement à l’esthétique de votre Samsung Galaxy S23 Ultra. Il offre une sensation douce au toucher et une expérience visuelle améliorée grâce à sa transparence à 99 %. Il préserve la sensibilité de votre écran tactile, garantissant une utilisation fluide et réactive de votre appareil.



    Caractéristiques Techniques


    Matériau : Verre trempé Asahi japonais
    Épaisseur : 0,33 mm
    Transparence : 99 % pour une clarté exceptionnelle
    Conception incurvée 2.5D pour une adhérence parfaite
    Protection contre les rayures, les chocs et les traces de doigts
    Technologies : Anti-explosion, anti-statique



    Le verre trempé intégral HEYBINGO Super Edge HD est la solution idéale pour ceux qui recherchent une protection durable, élégante et performante pour leur Samsung Galaxy S23 Ultra. Protégez votre appareil tout en conservant son esthétique et sa fonctionnalité.
"
"Verre trempé confidentiel iPhone 15 Pro 9H Heybingo Antistatique";"18557";"12";"EUR";"Rupture / sur commande";"Accessoires";"Protection Écran";"Verre Trempé";"";"Accessoires > Protection Écran > Verre Trempé";"https://www.pieces2mobile.com/verre-trempe-confidentiel-iphone-15-pro-9h-heybingo-antistatique.html";"https://www.pieces2mobile.com/media/catalog/product/cache/08ce6ea9b7ea9e423fa7c2e2ae0fab3c/h/e/heybingo-verre-trempe-confidentiel-iphone-15-pro-9h-1.jpg";"Verre trempé confidentiel iPhone 15 Pro 9H Heybingo Antistatique. ReparMonPhone, principal grossiste en pièces détachées pour mobiles en Europe. Envois gratuits dès 35 euros. Comptes professionnels.";"CARACTÉRISTIQUESCompatible :  iPhone 15 ProInclus : Le verre trempé de protectionAvec : Intégrale : OuiConfidentiel : OuiCouleur : TransparentÉpaisseur : avec boîte"
"Verre trempé confidentiel iPhone 15 Pro Max 9H Heybingo Antistatique";"18558";"12";"EUR";"Rupture / sur commande";"Accessoires";"Protection Écran";"Verre Trempé";"";"Accessoires > Protection Écran > Verre Trempé";"https://www.pieces2mobile.com/verre-trempe-confidentiel-iphone-15-pro-max-9h-heybingo-antistatique.html";"https://www.pieces2mobile.com/media/catalog/product/cache/08ce6ea9b7ea9e423fa7c2e2ae0fab3c/h/e/heybingo-verre-trempe-confidentiel-iphone-15-pro-max-9h-1.jpg";"Verre trempé confidentiel iPhone 15 Pro Max 9H Heybingo Antistatique. ReparMonPhone, principal grossiste en pièces de rechange pour mobiles en Europe. Envois gratuits dès 35 euros. Comptes professionnels.";"CARACTÉRISTIQUESCompatible :  iPhone 15 Pro MaxInclus : Le verre trempé de protectionAvec : Intégrale : OuiConfidentiel : OuiCouleur : TransparentÉpaisseur : avec boîte"
